341.39 1210.37
347.38 1197.76
353.36 1186.40
359.97 1172.84
365.01 1159.28
371.00 1143.52
377.61 1132.79
384.22 1120.81
392.41 1107.25
402.81 1094.95
409.73 1086.43
418.55 1076.96
425.17 1067.82
434.93 1058.98
445.32 1049.20
458.24 1045.09
470.83 1041.61
483.12 1041.92
494.45 1044.11
501.70 1048.21
509.89 1055.13
515.55 1061.43
519.33 1068.36
520.28 1077.50
517.44 1086.33
511.46 1092.64
504.53 1095.49
492.88 1095.18
481.86 1091.09
473.67 1085.43
463.90 1076.61
455.09 1068.11
450.99 1056.13
447.21 1041.32
446.90 1030.92
447.21 1017.99
449.73 1006.01
454.77 990.88
458.55 981.10
462.33 968.17
464.22 954.30
466.74 943.27
466.74 930.98
467.68 918.68
468.63 904.50
469.89 889.05
470.52 875.18
470.52 859.73
471.15 847.12
470.83 833.57
469.57 819.70
468.63 806.46
467.68 793.54
466.74 779.99
465.48 766.12
465.48 753.19
464.53 740.27
462.33 724.83
460.44 707.49
460.44 692.99
460.75 682.59
460.12 672.19
459.49 661.15
459.49 650.12
458.55 635.62
458.55 622.07
457.92 614.50
457.29 605.68
457.29 593.70
457.29 584.24
456.97 572.90
457.29 561.86
458.23 548.94
460.44 539.16
463.27 529.71
469.89 519.30
475.56 511.41
483.11 501.32
491.93 491.85
500.44 486.17
511.14 482.06
522.17 480.48
536.97 479.84
552.09 481.40
562.48 484.23
574.76 488.63
587.04 494.92
596.81 502.16
597.44 511.62
596.18 519.50
589.88 527.39
581.69 534.33
567.20 539.70
551.77 541.92
531.30 543.20
515.24 543.21
500.75 545.12
485.63 547.02
473.04 549.56
461.38 554.92
446.58 559.98
433.04 565.98
423.91 571.03
416.35 578.92
412.88 585.23
411.62 593.74
414.14 602.56
420.76 612.33
428.32 618.63
436.19 622.40
447.53 625.23
459.49 626.80
480.28 624.26
492.88 620.46
503.27 618.25
515.87 612.25
526.26 606.56
536.65 601.83
548.94 594.88
559.02 587.94
569.41 581.94
581.06 574.99
592.08 570.89
604.68 564.88
618.22 560.14
631.77 558.56
649.40 557.91
661.37 557.90
674.60 559.78
685.94 562.92
693.81 567.33
703.26 575.20
711.45 583.07
719.95 593.15
727.51 603.86
734.12 613.00
739.16 621.19
744.51 632.85
749.24 642.62
753.96 654.59
755.85 665.62
758.06 677.60
759.00 685.16
756.48 696.51
750.18 707.24
743.26 716.07
737.90 724.27
730.66 730.58
723.73 736.57
713.02 740.05
698.53 738.80
686.25 735.66
674.28 731.26
663.58 724.96
654.13 716.78
646.88 708.90
639.95 700.71
633.97 690.95
628.30 678.97
624.21 666.05
624.52 651.87
628.62 639.89
634.60 629.79
642.16 620.02
649.72 609.29
658.85 599.51
666.72 591.31
674.28 581.53
680.90 569.86
684.99 557.56
690.66 544.95
693.18 532.02
695.70 519.73
696.96 505.54
697.59 490.73
697.59 477.49
697.90 464.88
697.59 451.95
695.38 439.03
692.86 428.32
691.29 415.71
687.51 403.74
684.36 393.02
681.84 382.62
679.01 371.28
675.86 359.93
673.65 348.27
669.87 336.61
666.09 325.90
661.69 313.61
657.59 299.42
651.92 287.45
647.20 277.05
641.21 266.03
633.66 253.74
628.30 243.97
621.06 234.84
610.35 225.39
599.33 218.15
588.62 211.22
578.23 203.04
566.26 196.74
553.03 191.71
540.75 189.20
527.84 189.21
518.39 192.37
510.51 199.00
