684.99 557.56
680.9 569.86  
674.28 581.53
666.72 591.31
658.85 599.51
649.72 609.29
642.16 620.02
634.6 629.79  
628.62 639.89
624.52 651.87
624.21 666.05
628.3 678.97  
633.97 690.95
639.95 700.71
646.88 708.9 
654.13 716.78
663.58 724.96
674.28 731.26
686.25 735.66
698.53 738.8 
713.02 740.05
723.73 736.57
730.66 730.58
737.9 724.27  
743.26 716.07
750.18 707.24
756.48 696.51
759 685.16    
758.06 677.6 
755.85 665.62
753.96 654.59
749.24 642.62
744.51 632.85
739.16 621.19
734.12 613   
727.51 603.86
719.95 593.15
711.45 583.07
703.26 575.2 
693.81 567.33
685.94 562.92
